Customer ID,Recency,Frequency,Monetary,Total_Products_Purchased,Unique_Products_Purchased,First_Purchase,Last_Purchase,Avg_Transaction_Value,Customer_Tenure_Days,Revenue_Per_Product,Avg_Days_Between_Purchases,Std_Days_Between_Purchases,Purchase_Regularity,Spending_Trend,Monthly_Spending_Mean,Monthly_Spending_Std,Cancellation_Rate,Is_UK,Revenue_Percentile,R_Score,F_Score,M_Score,RFM_Segment
12346.0,325,4,169.36000000000058,24,25,2010-03-02 13:08:00,2011-01-18 10:17:00,42.340000000000146,646,6.774400000000023,12.84,46.102856021436814,0.27259493552060693,-13.524999999999999,56.45333333333334,75.57414262387191,0.25,1,10-20%,2,3,1,Lost Customers
12347.0,1,8,4921.53,2967,126,2010-10-31 14:20:00,2011-12-07 15:52:00,615.19125,403,39.059761904761906,1.8054298642533937,10.487358945668158,0.15716666231050566,3.3394047619047678,615.19125,315.7736577015478,0.0,0,80-90%,5,4,5,Champions
12348.0,74,5,1658.3999999999999,2704,24,2010-09-27 14:59:00,2011-09-25 13:13:00,331.67999999999995,437,69.1,8.044444444444444,30.0899828964237,0.2587471492423948,-22.811999999999998,331.67999999999995,187.05896610427416,0.0,0,60-70%,3,3,4,Good Customers
12349.0,18,4,3654.54,1616,138,2009-12-04 12:49:00,2011-11-21 09:51:00,913.635,735,26.48217391304348,4.068181818181818,34.01555793777579,0.11618212182742195,452.91999999999996,913.635,647.1443494048809,0.25,0,80-90%,4,3,5,Loyal Customers
12350.0,309,1,294.4,196,16,2011-02-02 16:01:00,2011-02-02 16:01:00,294.4,309,18.4,0.0,0.0,0.0,0.0,294.4,0.0,0.0,0,20-30%,2,1,2,Lost Customers
12351.0,374,1,300.93,261,21,2010-11-29 15:23:00,2010-11-29 15:23:00,300.93,374,14.33,0.0,0.0,0.0,0.0,300.93,0.0,0.0,0,20-30%,2,1,2,Lost Customers
12352.0,35,10,1609.21,651,68,2010-11-12 10:20:00,2011-11-03 14:37:00,160.921,392,23.66485294117647,3.495049504950495,19.940724040202873,0.16690203730494482,-0.8140000000000044,321.842,117.29819955992504,0.1,0,60-70%,4,4,4,Champions
12353.0,203,2,406.76,212,23,2010-10-27 12:44:00,2011-05-19 17:47:00,203.38,408,17.68521739130435,8.869565217391305,42.536940467643255,0.20372504641163713,-228.76,203.38,161.7577472642346,0.0,0,30-40%,2,2,2,Lost Customers
12354.0,231,1,1079.4,530,58,2011-04-21 13:11:00,2011-04-21 13:11:00,1079.4,231,18.610344827586207,0.0,0.0,0.0,0.0,1079.4,0.0,0.0,0,50-60%,2,1,3,Lost Customers
12355.0,213,2,947.61,543,35,2010-05-21 11:59:00,2011-05-09 13:49:00,473.805,567,27.074571428571428,10.382352941176471,60.53900055530563,0.16871175754383208,-28.81000000000006,473.805,20.371746365984478,0.0,0,50-60%,2,2,3,Lost Customers
